decision_id,decision_time,event_id,ticker,event_end_utc,price_to_beat_at_decision,current_price_at_decision,diff_vs_ptb_at_decision,close_price_at_resolution,stake_usd,shares_simulated,slot,range,prob_up,marketProb_at_decision,price_source_at_decision,best_bid_at_decision,best_ask_at_decision,mid_at_decision,spread_at_decision,spread_pct_at_decision,fill_price_real,QuantumEdge,edge_at_fill_pct,friction_cost_usd,pnl_sim_adjusted,fee_pct_used,slippage_buffer_pct_used,side_taken,event_outcome_real,pnl_simulated,status
f566e29b-3dfe-418d-b555-8d91fdd8e942,2026-03-11T20:26:09.083671+00:00,xrp_up_or_down_march_11_4_25pm_4_30pm_et,XRP,2026-03-11T20:30:00+00:00,1.3888,1.3882,-0.0006,1.388700,4.645504,7.492749,7,"[-0.02,0.00)",0.309388,0.62,best_ask,0.58,0.62,0.6,0.04,0.066667,0.62,0.070612,7.0612,0.387126,2.460118,2.000000,3.000000,down,down,2.847244,resolved
33c4d887-c9a4-4805-982d-d6ef141af43e,2026-03-11T20:33:20.147266+00:00,solana_up_or_down_march_11_4_30pm_4_35pm_et,SOL,2026-03-11T20:35:00+00:00,87.08,87.06,-0.02,87.140000,5.0,8.064516,21,"[-0.20,0.00)",0.218579,0.62,best_ask,0.61,0.62,0.615,0.01,0.01626,0.62,0.161421,16.1421,0.290650,-5.290650,2.000000,3.000000,down,up,-5.000000,resolved
9c48d46b-aa6c-4e8d-968d-aed5b85bc6a1,2026-03-11T20:33:24.167469+00:00,xrp_up_or_down_march_11_4_30pm_4_35pm_et,XRP,2026-03-11T20:35:00+00:00,1.3887,1.3889,0.0002,1.390400,5.0,7.462687,21,"[0.00,0.02)",0.793758,0.67,best_ask,0.61,0.67,0.64,0.06,0.09375,0.67,0.123758,12.3758,0.484375,1.978312,2.000000,3.000000,up,up,2.462687,resolved
d6f962fe-0c48-4251-8064-86464f100d76,2026-03-11T20:34:25.931518+00:00,solana_up_or_down_march_11_4_30pm_4_35pm_et,SOL,2026-03-11T20:35:00+00:00,87.08,87.09,0.01,87.140000,5.0,7.246377,27,"[0.00,0.20)",0.856672,0.69,best_ask,0.66,0.69,0.675,0.03,0.044444,0.69,0.166672,16.6672,0.361110,1.885267,2.000000,3.000000,up,up,2.246377,resolved
54875fe8-b3a8-43f6-8f7e-53ae195289ba,2026-03-11T20:37:01.421077+00:00,ethereum_up_or_down_march_11_4_35pm_4_40pm_et,ETH,2026-03-11T20:40:00+00:00,2069.83,2070.44,0.61,2070.240000,5.0,7.575758,13,"[0.60,0.80)",0.775,0.66,best_ask,0.65,0.66,0.655,0.01,0.015267,0.66,0.115,11.5,0.288167,2.287590,2.000000,3.000000,up,up,2.575758,resolved
3f0785f9-8dad-466c-bbc2-89df5cf43b9d,2026-03-11T20:37:24.481308+00:00,bitcoin_up_or_down_march_11_4_35pm_4_40pm_et,BTC,2026-03-11T20:40:00+00:00,70500.62,70515.61,14.99,70506.710000,5.0,7.8125,15,"[10.00,20.00)",0.762376,0.64,best_ask,0.63,0.64,0.635,0.01,0.015748,0.64,0.122376,12.2376,0.289370,2.523130,2.000000,3.000000,up,up,2.812500,resolved
d55dcdb3-c343-43c2-a8b6-73f03fa33cf7,2026-03-11T20:38:11.897463+00:00,solana_up_or_down_march_11_4_35pm_4_40pm_et,SOL,2026-03-11T20:40:00+00:00,87.13,87.17,0.04,87.130000,5.0,7.462687,20,"[0.00,0.20)",0.742947,0.67,best_ask,0.66,0.67,0.665,0.01,0.015038,0.67,0.072947,7.2947,0.287595,2.175092,2.000000,3.000000,up,up,2.462687,resolved
539345c2-1dc0-42fb-99e3-cbb172ed7489,2026-03-11T20:41:00.970356+00:00,xrp_up_or_down_march_11_4_40pm_4_45pm_et,XRP,2026-03-11T20:45:00+00:00,1.3917,1.3914,-0.0003,1.391500,5.0,8.333333,7,"[-0.02,0.00)",0.309388,0.6,best_ask,0.59,0.6,0.595,0.01,0.016807,0.6,0.090612,9.0612,0.292017,3.041316,2.000000,3.000000,down,down,3.333333,resolved
64b64f05-1370-4f97-a5ba-e84f17c4e627,2026-03-11T20:46:09.962878+00:00,xrp_up_or_down_march_11_4_45pm_4_50pm_et,XRP,2026-03-11T20:50:00+00:00,1.3915,1.3913,-0.0002,1.391100,5.0,8.196721,7,"[-0.02,0.00)",0.309388,0.61,best_ask,0.58,0.61,0.595,0.03,0.05042,0.61,0.080612,8.0612,0.376050,2.820671,2.000000,3.000000,down,down,3.196721,resolved
e7c994bf-3a4b-4863-95cc-3fbbe9b9a254,2026-03-11T20:46:24.435768+00:00,bitcoin_up_or_down_march_11_4_45pm_4_50pm_et,BTC,2026-03-11T20:50:00+00:00,70547.69,70526.54,-21.15,70542.190000,5.0,8.333333,9,"[-30.00,-20.00)",0.291667,0.6,best_ask,0.59,0.6,0.595,0.01,0.016807,0.6,0.108333,10.8333,0.292017,3.041316,2.000000,3.000000,down,down,3.333333,resolved
231df465-0815-475d-981a-641ca2dfa7b6,2026-03-11T20:47:37.261434+00:00,solana_up_or_down_march_11_4_45pm_4_50pm_et,SOL,2026-03-11T20:50:00+00:00,87.31,87.34,0.03,87.350000,5.0,7.936508,16,"[0.00,0.20)",0.717293,0.63,best_ask,0.62,0.63,0.625,0.01,0.016,0.63,0.087293,8.7293,0.290000,2.646508,2.000000,3.000000,up,up,2.936508,resolved
3d950a13-61ff-4c13-bfc8-ac7921dbf4dc,2026-03-11T20:51:21.035080+00:00,xrp_up_or_down_march_11_4_50pm_4_55pm_et,XRP,2026-03-11T20:55:00+00:00,1.3914,1.3909,-0.0005,1.390500,5.0,8.333333,9,"[-0.02,0.00)",0.292867,0.6,best_ask,0.58,0.6,0.59,0.02,0.033898,0.6,0.107133,10.7133,0.334745,2.998588,2.000000,3.000000,down,down,3.333333,resolved
69048025-2b77-430b-8c2a-7d9ee7be2679,2026-03-11T20:54:26.719088+00:00,bitcoin_up_or_down_march_11_4_50pm_4_55pm_et,BTC,2026-03-11T20:55:00+00:00,70537.25,70552.0,14.75,70585.990000,5.0,7.462687,27,"[10.00,20.00)",0.755814,0.67,best_ask,0.66,0.67,0.665,0.01,0.015038,0.67,0.085814,8.5814,0.287595,2.175092,2.000000,3.000000,up,up,2.462687,resolved
7b63107c-2c40-4e4e-8bf0-bc23e742ccd5,2026-03-11T20:58:26.254105+00:00,ethereum_up_or_down_march_11_4_55pm_5_00pm_et,ETH,2026-03-11T21:00:00+00:00,2067.92,2068.65,0.73,2069.760000,5.0,7.692308,21,"[0.60,0.80)",0.736842,0.65,best_ask,0.64,0.65,0.645,0.01,0.015504,0.65,0.086842,8.6842,0.288760,2.403548,2.000000,3.000000,up,up,2.692308,resolved
6536b14d-1490-4e69-b65c-fe5da49c6f5b,2026-03-11T21:03:20.307522+00:00,ethereum_up_or_down_march_11_5_00pm_5_05pm_et,ETH,2026-03-11T21:05:00+00:00,2068.41,2066.91,-1.5,2069.600000,5.0,6.024096,21,"[-1.60,-1.40)",0.097561,0.83,best_ask,0.82,0.83,0.825,0.01,0.012121,0.83,0.072439,7.2439,0.280303,-5.280303,2.000000,3.000000,down,up,-5.000000,resolved
