event_type,ticker,day_type,time_frame,slot,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range
5m,BTC,weekend,tf1,5,-40.0,-30.0,0.4052044609665427,0.5947955390334573,267
5m,BTC,weekend,tf1,5,-30.0,-20.0,0.3817733990147783,0.6182266009852218,404
5m,BTC,weekend,tf1,5,-20.0,-10.0,0.3667377398720682,0.6332622601279317,467
5m,BTC,weekend,tf1,5,-10.0,0.0,0.431924882629108,0.568075117370892,637
5m,BTC,weekend,tf1,5,0.0,10.0,0.5513613861386139,0.4486386138613861,806
5m,BTC,weekend,tf1,5,10.0,20.0,0.6212406015037594,0.3787593984962406,530
5m,BTC,weekend,tf1,5,20.0,30.0,0.6228710462287105,0.3771289537712895,409
5m,BTC,weekend,tf1,5,30.0,40.0,0.6407407407407407,0.3592592592592593,268
5m,BTC,weekend,tf1,5,40.0,50.0,0.6372549019607843,0.3627450980392157,202
5m,BTC,weekend,tf1,5,50.0,60.0,0.6862745098039216,0.3137254901960784,151
5m,BTC,weekend,tf1,5,60.0,70.0,0.6626506024096386,0.3373493975903614,81
5m,BTC,weekend,tf1,5,70.0,80.0,0.7321428571428571,0.2678571428571429,54
5m,BTC,weekend,tf1,5,80.0,90.0,0.6046511627906976,0.3953488372093023,41
5m,BTC,weekend,tf1,5,90.0,100.0,0.7142857142857143,0.2857142857142857,40
5m,BTC,weekend,tf1,5,100.0,110.0,0.7241379310344828,0.2758620689655172,27
5m,BTC,weekend,tf1,5,110.0,120.0,0.8888888888888888,0.1111111111111111,25
5m,BTC,weekend,tf1,6,-120.0,-110.0,0.0869565217391304,0.9130434782608696,21
5m,BTC,weekend,tf1,6,-110.0,-100.0,0.21875,0.78125,30
5m,BTC,weekend,tf1,6,-100.0,-90.0,0.1578947368421052,0.8421052631578947,36
5m,BTC,weekend,tf1,6,-90.0,-80.0,0.29,0.71,48
5m,BTC,weekend,tf1,6,-80.0,-70.0,0.2,0.8,68
5m,BTC,weekend,tf1,6,-70.0,-60.0,0.348314606741573,0.651685393258427,87
5m,BTC,weekend,tf1,6,-60.0,-50.0,0.2653061224489796,0.7346938775510203,145
5m,BTC,weekend,tf1,6,-50.0,-40.0,0.3417085427135678,0.6582914572864322,197
5m,BTC,weekend,tf1,6,-40.0,-30.0,0.3440860215053763,0.6559139784946236,277
5m,BTC,weekend,tf1,6,-30.0,-20.0,0.3763586956521739,0.6236413043478262,366
5m,BTC,weekend,tf1,6,-20.0,-10.0,0.3917410714285714,0.6082589285714286,446
5m,BTC,weekend,tf1,6,-10.0,0.0,0.4580696202531645,0.5419303797468354,630
5m,BTC,weekend,tf1,6,0.0,10.0,0.5612382234185733,0.4387617765814267,741
5m,BTC,weekend,tf1,6,10.0,20.0,0.5886194029850746,0.4113805970149253,534
5m,BTC,weekend,tf1,6,20.0,30.0,0.5969773299748111,0.4030226700251889,395
5m,BTC,weekend,tf1,6,30.0,40.0,0.6711409395973155,0.3288590604026845,296
5m,BTC,weekend,tf1,6,40.0,50.0,0.6377551020408162,0.3622448979591838,194
5m,BTC,weekend,tf1,6,50.0,60.0,0.7338709677419355,0.2661290322580645,122
5m,BTC,weekend,tf1,6,60.0,70.0,0.5894736842105263,0.4105263157894737,93
5m,BTC,weekend,tf1,6,70.0,80.0,0.7534246575342466,0.2465753424657534,71
5m,BTC,weekend,tf1,6,80.0,90.0,0.7407407407407407,0.2592592592592593,52
5m,BTC,weekend,tf1,6,90.0,100.0,0.7115384615384616,0.2884615384615384,50
5m,BTC,weekend,tf1,6,100.0,110.0,0.7777777777777778,0.2222222222222222,34
5m,BTC,weekend,tf1,6,120.0,130.0,0.8636363636363636,0.1363636363636363,20
5m,BTC,weekend,tf1,7,-150.0,-140.0,0.1379310344827586,0.8620689655172413,27
5m,BTC,weekend,tf1,7,-130.0,-120.0,0.2105263157894736,0.7894736842105263,36
5m,BTC,weekend,tf1,7,-120.0,-110.0,0.1428571428571428,0.8571428571428572,26
5m,BTC,weekend,tf1,7,-110.0,-100.0,0.125,0.875,34
5m,BTC,weekend,tf1,7,-100.0,-90.0,0.2790697674418604,0.7209302325581395,41
5m,BTC,weekend,tf1,7,-90.0,-80.0,0.296875,0.703125,62
5m,BTC,weekend,tf1,7,-80.0,-70.0,0.2432432432432432,0.7567567567567568,72
