day_type,time_frame,slot,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range,ticker
weekend,off,7,-30.0,-20.0,0.3343465045592705,0.6656534954407295,327,BTC
weekend,off,7,-20.0,-10.0,0.3786848072562358,0.6213151927437641,439,BTC
weekend,off,7,-10.0,0.0,0.4182389937106918,0.5817610062893082,634,BTC
weekend,off,7,0.0,10.0,0.5451612903225805,0.4548387096774194,928,BTC
weekend,off,7,10.0,20.0,0.6405295315682281,0.3594704684317719,489,BTC
weekend,off,7,20.0,30.0,0.6593567251461988,0.3406432748538012,340,BTC
weekend,off,7,30.0,40.0,0.6525096525096525,0.3474903474903474,257,BTC
weekend,off,7,40.0,50.0,0.6526315789473685,0.3473684210526315,188,BTC
weekend,off,7,50.0,60.0,0.7,0.3,128,BTC
weekend,off,7,60.0,70.0,0.7157894736842105,0.2842105263157894,93,BTC
weekend,off,7,70.0,80.0,0.7777777777777778,0.2222222222222222,79,BTC
weekend,off,7,80.0,90.0,0.68,0.3199999999999999,48,BTC
weekend,off,7,90.0,100.0,0.7560975609756098,0.2439024390243902,39,BTC
weekend,off,7,100.0,110.0,0.8461538461538461,0.1538461538461538,24,BTC
weekend,off,7,110.0,120.0,0.75,0.25,22,BTC
weekend,off,7,120.0,130.0,0.782608695652174,0.217391304347826,21,BTC
weekend,off,7,130.0,140.0,0.8,0.1999999999999999,23,BTC
weekend,off,8,-160.0,-150.0,0.08,0.92,23,BTC
weekend,off,8,-130.0,-120.0,0.2285714285714285,0.7714285714285715,33,BTC
weekend,off,8,-120.0,-110.0,0.2,0.8,23,BTC
weekend,off,8,-110.0,-100.0,0.2127659574468085,0.7872340425531915,45,BTC
weekend,off,8,-100.0,-90.0,0.2129629629629629,0.787037037037037,52,BTC
weekend,off,8,-90.0,-80.0,0.2950819672131147,0.7049180327868853,59,BTC
weekend,off,8,-80.0,-70.0,0.2790697674418605,0.7209302325581395,84,BTC
weekend,off,8,-70.0,-60.0,0.2736842105263158,0.7263157894736842,93,BTC
weekend,off,8,-60.0,-50.0,0.3114754098360656,0.6885245901639344,120,BTC
weekend,off,8,-50.0,-40.0,0.3095238095238095,0.6904761904761905,166,BTC
weekend,off,8,-40.0,-30.0,0.3441295546558704,0.6558704453441295,245,BTC
weekend,off,8,-30.0,-20.0,0.3055555555555556,0.6944444444444444,304,BTC
weekend,off,8,-20.0,-10.0,0.3962882096069869,0.6037117903930131,456,BTC
weekend,off,8,-10.0,0.0,0.4016949152542373,0.5983050847457627,588,BTC
weekend,off,8,0.0,10.0,0.556497175141243,0.443502824858757,883,BTC
weekend,off,8,10.0,20.0,0.6024229074889867,0.3975770925110132,452,BTC
weekend,off,8,20.0,30.0,0.6970588235294117,0.3029411764705882,338,BTC
weekend,off,8,30.0,40.0,0.6653543307086615,0.3346456692913385,252,BTC
weekend,off,8,40.0,50.0,0.6526315789473685,0.3473684210526315,188,BTC
weekend,off,8,50.0,60.0,0.6556291390728478,0.3443708609271522,149,BTC
weekend,off,8,60.0,70.0,0.7289719626168224,0.2710280373831776,105,BTC
weekend,off,8,70.0,80.0,0.8131868131868132,0.1868131868131868,89,BTC
weekend,off,8,80.0,90.0,0.8245614035087719,0.175438596491228,55,BTC
weekend,off,8,90.0,100.0,0.717391304347826,0.2826086956521739,44,BTC
weekend,off,8,100.0,110.0,0.7317073170731707,0.2682926829268293,39,BTC
weekend,off,8,110.0,120.0,0.8484848484848485,0.1515151515151515,31,BTC
weekend,off,8,120.0,130.0,0.925925925925926,0.074074074074074,25,BTC
weekend,off,8,130.0,140.0,0.7727272727272727,0.2272727272727273,20,BTC
weekend,off,9,-150.0,-140.0,0.1538461538461538,0.8461538461538461,24,BTC
weekend,off,9,-140.0,-130.0,0.1071428571428571,0.8928571428571429,26,BTC
weekend,off,9,-130.0,-120.0,0.1153846153846153,0.8846153846153846,24,BTC
weekend,off,9,-120.0,-110.0,0.21875,0.78125,30,BTC
weekend,off,9,-110.0,-100.0,0.2115384615384615,0.7884615384615384,50,BTC
weekend,off,9,-100.0,-90.0,0.13,0.87,48,BTC
weekend,off,9,-90.0,-80.0,0.2388059701492537,0.7611940298507462,65,BTC
weekend,off,9,-80.0,-70.0,0.2558139534883721,0.7441860465116279,84,BTC
weekend,off,9,-70.0,-60.0,0.2613636363636363,0.7386363636363636,86,BTC
weekend,off,9,-60.0,-50.0,0.2978723404255319,0.7021276595744681,139,BTC
weekend,off,9,-50.0,-40.0,0.294478527607362,0.705521472392638,161,BTC
weekend,off,9,-40.0,-30.0,0.373015873015873,0.626984126984127,250,BTC
weekend,off,9,-30.0,-20.0,0.3349206349206349,0.6650793650793652,313,BTC
weekend,off,9,-20.0,-10.0,0.3787185354691075,0.6212814645308924,435,BTC
weekend,off,9,-10.0,0.0,0.4032815198618307,0.5967184801381693,577,BTC
weekend,off,9,0.0,10.0,0.5505481120584653,0.4494518879415347,819,BTC
weekend,off,9,10.0,20.0,0.6184510250569476,0.3815489749430524,437,BTC
weekend,off,9,20.0,30.0,0.6671428571428571,0.3328571428571428,348,BTC
weekend,off,9,30.0,40.0,0.6979591836734694,0.3020408163265305,243,BTC
weekend,off,9,40.0,50.0,0.6734234234234234,0.3265765765765765,220,BTC
weekend,off,9,50.0,60.0,0.7261146496815286,0.2738853503184714,155,BTC
weekend,off,9,60.0,70.0,0.711864406779661,0.288135593220339,116,BTC
weekend,off,9,70.0,80.0,0.7204301075268817,0.2795698924731182,91,BTC
weekend,off,9,80.0,90.0,0.8225806451612904,0.1774193548387096,60,BTC
weekend,off,9,90.0,100.0,0.8260869565217391,0.1739130434782608,44,BTC
weekend,off,9,100.0,110.0,0.7575757575757576,0.2424242424242424,31,BTC
weekend,off,9,110.0,120.0,0.7333333333333333,0.2666666666666667,28,BTC
weekend,off,9,120.0,130.0,0.7777777777777778,0.2222222222222222,25,BTC
weekend,off,9,130.0,140.0,0.9428571428571428,0.0571428571428571,33,BTC
weekend,off,10,-150.0,-140.0,0.1304347826086956,0.8695652173913043,21,BTC
weekend,off,10,-140.0,-130.0,0.1333333333333333,0.8666666666666667,28,BTC
weekend,off,10,-130.0,-120.0,0.1290322580645161,0.8709677419354839,29,BTC
weekend,off,10,-120.0,-110.0,0.1956521739130435,0.8043478260869565,44,BTC
weekend,off,10,-110.0,-100.0,0.2037037037037037,0.7962962962962963,52,BTC
weekend,off,10,-100.0,-90.0,0.1909090909090909,0.8090909090909091,53,BTC
weekend,off,10,-90.0,-80.0,0.144927536231884,0.855072463768116,67,BTC
weekend,off,10,-80.0,-70.0,0.2873563218390804,0.7126436781609196,85,BTC
weekend,off,10,-70.0,-60.0,0.2234042553191489,0.7765957446808511,92,BTC
weekend,off,10,-60.0,-50.0,0.2411347517730496,0.7588652482269503,139,BTC
weekend,off,10,-50.0,-40.0,0.3142857142857143,0.6857142857142857,173,BTC
weekend,off,10,-40.0,-30.0,0.3784860557768924,0.6215139442231076,249,BTC
weekend,off,10,-30.0,-20.0,0.2845911949685534,0.7154088050314465,316,BTC
weekend,off,10,-20.0,-10.0,0.3843283582089552,0.6156716417910448,400,BTC
weekend,off,10,-10.0,0.0,0.4076271186440678,0.5923728813559321,588,BTC
weekend,off,10,0.0,10.0,0.5615079365079365,0.4384920634920635,754,BTC
weekend,off,10,10.0,20.0,0.6590389016018307,0.3409610983981693,435,BTC
weekend,off,10,20.0,30.0,0.6930835734870316,0.3069164265129683,345,BTC
weekend,off,10,30.0,40.0,0.6384615384615384,0.3615384615384616,258,BTC
weekend,off,10,40.0,50.0,0.6953488372093023,0.3046511627906977,213,BTC
weekend,off,10,50.0,60.0,0.7090909090909091,0.2909090909090909,163,BTC
weekend,off,10,60.0,70.0,0.6880733944954128,0.3119266055045872,107,BTC
weekend,off,10,70.0,80.0,0.7934782608695652,0.2065217391304348,90,BTC
weekend,off,10,80.0,90.0,0.7538461538461538,0.2461538461538461,63,BTC
weekend,off,10,90.0,100.0,0.7924528301886793,0.2075471698113207,51,BTC
weekend,off,10,100.0,110.0,0.8518518518518519,0.1481481481481481,52,BTC
weekend,off,10,110.0,120.0,0.8787878787878788,0.1212121212121212,31,BTC
weekend,off,10,120.0,130.0,0.76,0.24,23,BTC
weekend,off,10,130.0,140.0,0.9090909090909092,0.0909090909090909,20,BTC
weekend,off,10,140.0,150.0,0.9090909090909092,0.0909090909090909,20,BTC
weekend,off,11,-160.0,-150.0,0.1034482758620689,0.896551724137931,27,BTC
weekend,off,11,-150.0,-140.0,0.1304347826086956,0.8695652173913043,21,BTC
weekend,off,11,-140.0,-130.0,0.09375,0.90625,30,BTC
weekend,off,11,-130.0,-120.0,0.1944444444444444,0.8055555555555556,34,BTC
weekend,off,11,-120.0,-110.0,0.0526315789473684,0.9473684210526316,36,BTC
weekend,off,11,-110.0,-100.0,0.0980392156862745,0.9019607843137256,49,BTC
weekend,off,11,-100.0,-90.0,0.21875,0.78125,62,BTC
weekend,off,11,-90.0,-80.0,0.1901408450704225,0.8098591549295775,69,BTC
weekend,off,11,-80.0,-70.0,0.1978021978021978,0.8021978021978022,89,BTC
weekend,off,11,-70.0,-60.0,0.3260869565217392,0.6739130434782608,90,BTC
weekend,off,11,-60.0,-50.0,0.2773722627737226,0.7226277372262774,135,BTC
weekend,off,11,-50.0,-40.0,0.2812499999999999,0.71875,190,BTC
weekend,off,11,-40.0,-30.0,0.3422222222222222,0.6577777777777778,223,BTC
weekend,off,11,-30.0,-20.0,0.2611940298507462,0.7388059701492538,333,BTC
weekend,off,11,-20.0,-10.0,0.3875305623471882,0.6124694376528117,407,BTC
weekend,off,11,-10.0,0.0,0.3684684684684685,0.6315315315315315,553,BTC
weekend,off,11,0.0,10.0,0.5834502103786817,0.4165497896213183,711,BTC
weekend,off,11,10.0,20.0,0.6598639455782312,0.3401360544217687,439,BTC
weekend,off,11,20.0,30.0,0.6752136752136753,0.3247863247863247,349,BTC
weekend,off,11,30.0,40.0,0.73046875,0.26953125,254,BTC
weekend,off,11,40.0,50.0,0.6788990825688074,0.3211009174311926,216,BTC
weekend,off,11,50.0,60.0,0.7371794871794872,0.2628205128205128,154,BTC
weekend,off,11,60.0,70.0,0.7342342342342343,0.2657657657657657,109,BTC
weekend,off,11,70.0,80.0,0.7857142857142857,0.2142857142857143,96,BTC
weekend,off,11,80.0,90.0,0.7746478873239436,0.2253521126760563,69,BTC
weekend,off,11,90.0,100.0,0.8082191780821918,0.1917808219178082,71,BTC
weekend,off,11,100.0,110.0,0.8536585365853658,0.1463414634146341,39,BTC
weekend,off,11,110.0,120.0,0.875,0.125,38,BTC
weekend,off,11,120.0,130.0,0.8695652173913043,0.1304347826086956,21,BTC
weekend,off,11,130.0,140.0,0.9166666666666666,0.0833333333333333,22,BTC
weekend,off,11,140.0,150.0,0.8181818181818182,0.1818181818181817,20,BTC
weekend,off,12,-160.0,-150.0,0.12,0.88,23,BTC
weekend,off,12,-140.0,-130.0,0.1333333333333333,0.8666666666666667,28,BTC
weekend,off,12,-130.0,-120.0,0.1071428571428571,0.8928571428571429,26,BTC
weekend,off,12,-120.0,-110.0,0.1063829787234042,0.8936170212765957,45,BTC
weekend,off,12,-110.0,-100.0,0.180327868852459,0.819672131147541,59,BTC
weekend,off,12,-100.0,-90.0,0.1311475409836065,0.8688524590163934,59,BTC
weekend,off,12,-90.0,-80.0,0.1666666666666666,0.8333333333333334,73,BTC
weekend,off,12,-80.0,-70.0,0.2,0.8,98,BTC
weekend,off,12,-70.0,-60.0,0.2839506172839506,0.7160493827160495,79,BTC
weekend,off,12,-60.0,-50.0,0.2835820895522388,0.7164179104477613,132,BTC
weekend,off,12,-50.0,-40.0,0.2686567164179104,0.7313432835820896,199,BTC
weekend,off,12,-40.0,-30.0,0.3056768558951965,0.6943231441048034,227,BTC
weekend,off,12,-30.0,-20.0,0.2550724637681159,0.7449275362318841,343,BTC
weekend,off,12,-20.0,-10.0,0.4121951219512195,0.5878048780487806,408,BTC
weekend,off,12,-10.0,0.0,0.3924632352941176,0.6075367647058824,542,BTC
weekend,off,12,0.0,10.0,0.5622254758418741,0.4377745241581259,681,BTC
weekend,off,12,10.0,20.0,0.6875,0.3125,398,BTC
weekend,off,12,20.0,30.0,0.6931818181818182,0.3068181818181817,350,BTC
weekend,off,12,30.0,40.0,0.7,0.3,278,BTC
weekend,off,12,40.0,50.0,0.6699507389162561,0.3300492610837439,201,BTC
weekend,off,12,50.0,60.0,0.7861271676300579,0.2138728323699421,171,BTC
weekend,off,12,60.0,70.0,0.7064220183486238,0.2935779816513761,107,BTC
weekend,off,12,70.0,80.0,0.81,0.1899999999999999,98,BTC
weekend,off,12,80.0,90.0,0.7835820895522388,0.2164179104477611,65,BTC
weekend,off,12,90.0,100.0,0.8679245283018868,0.1320754716981131,51,BTC
weekend,off,12,100.0,110.0,0.8627450980392157,0.1372549019607842,49,BTC
weekend,off,12,110.0,120.0,0.8648648648648649,0.1351351351351351,35,BTC
weekend,off,12,120.0,130.0,0.9090909090909092,0.0909090909090909,31,BTC
weekend,off,12,130.0,140.0,0.8461538461538461,0.1538461538461538,24,BTC
weekend,off,12,140.0,150.0,0.8620689655172413,0.1379310344827586,27,BTC
weekend,off,13,-150.0,-140.0,0.04,0.96,23,BTC
weekend,off,13,-140.0,-130.0,0.1111111111111111,0.8888888888888888,25,BTC
weekend,off,13,-130.0,-120.0,0.1212121212121212,0.8787878787878788,31,BTC
weekend,off,13,-120.0,-110.0,0.2181818181818181,0.7818181818181819,53,BTC
weekend,off,13,-110.0,-100.0,0.0545454545454545,0.9454545454545454,53,BTC
weekend,off,13,-100.0,-90.0,0.1049382716049382,0.8950617283950617,79,BTC
weekend,off,13,-90.0,-80.0,0.1785714285714285,0.8214285714285714,54,BTC
weekend,off,13,-80.0,-70.0,0.22,0.78,98,BTC
weekend,off,13,-70.0,-60.0,0.2142857142857142,0.7857142857142857,110,BTC
weekend,off,13,-60.0,-50.0,0.2481203007518796,0.7518796992481203,131,BTC
weekend,off,13,-50.0,-40.0,0.2615384615384615,0.7384615384615385,193,BTC
weekend,off,13,-40.0,-30.0,0.2584745762711864,0.7415254237288136,234,BTC
