timestamp,underlying_price,yes_price,no_price,time_remaining_min,market_direction,market_threshold,equity
2024-12-01 16:25:00,239.23,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 16:30:00,239.04,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 16:35:00,238.92,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 16:40:00,238.94,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 16:45:00,238.67,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 16:50:00,238.51,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 16:55:00,238.08,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 17:00:00,237.37,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 17:05:00,237.46,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 17:10:00,237.12,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 17:15:00,236.54,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 17:20:00,236.75,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 17:25:00,236.51,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 17:30:00,237.12,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 17:35:00,236.84,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 17:40:00,236.54,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 17:45:00,236.65,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 17:50:00,236.94,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 17:55:00,237.02,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 18:00:00,237.6,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 18:05:00,237.43,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 18:10:00,237.24,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 18:15:00,236.91,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 18:20:00,237.32,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 18:25:00,237.36,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 18:30:00,236.99,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 18:35:00,237.07,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 18:40:00,236.88,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 18:45:00,236.82,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 18:50:00,236.4,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 18:55:00,236.18,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 19:00:00,236.4,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 19:05:00,236.56,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 19:10:00,236.35,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 19:15:00,235.79,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 19:20:00,235.27,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 19:25:00,235.56,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 19:30:00,235.85,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 19:35:00,235.6,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 19:40:00,235.37,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 19:45:00,235.11,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 19:50:00,235.98,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 19:55:00,236.29,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 20:00:00,235.5,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 20:05:00,235.12,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 20:10:00,235.34,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 20:15:00,235.6,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 20:20:00,235.24,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 20:25:00,234.64,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 20:30:00,235.22,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 20:35:00,235.07,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 20:40:00,235.21,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 20:45:00,235.26,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 20:50:00,235.89,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 20:55:00,235.7,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 21:00:00,235.55,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 21:05:00,235.93,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 21:10:00,236.14,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 21:15:00,236.52,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 21:20:00,236.31,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 21:25:00,236.7,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 21:30:00,236.55,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 21:35:00,236.77,0.01,0.98,10.0,up,5.0,9999.9902
