minute,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range,ticker
4,-250.0,-240.0,0.2083333333333333,0.7916666666666666,22,BTC
4,-240.0,-230.0,0.28,0.72,23,BTC
4,-230.0,-220.0,0.1282051282051282,0.8717948717948718,37,BTC
4,-220.0,-210.0,0.1379310344827586,0.8620689655172413,27,BTC
4,-210.0,-200.0,0.1739130434782608,0.8260869565217391,44,BTC
4,-200.0,-190.0,0.1627906976744186,0.8372093023255813,41,BTC
4,-190.0,-180.0,0.2448979591836734,0.7551020408163265,47,BTC
4,-180.0,-170.0,0.2777777777777778,0.7222222222222222,52,BTC
4,-170.0,-160.0,0.173076923076923,0.8269230769230769,50,BTC
4,-160.0,-150.0,0.2564102564102564,0.7435897435897436,76,BTC
4,-150.0,-140.0,0.2063492063492063,0.7936507936507937,61,BTC
4,-140.0,-130.0,0.1739130434782608,0.8260869565217391,90,BTC
4,-130.0,-120.0,0.2601626016260162,0.7398373983739838,121,BTC
4,-120.0,-110.0,0.2573529411764705,0.7426470588235294,134,BTC
4,-110.0,-100.0,0.1958041958041958,0.8041958041958042,141,BTC
4,-100.0,-90.0,0.2658959537572254,0.7341040462427746,171,BTC
4,-90.0,-80.0,0.2717948717948718,0.7282051282051283,193,BTC
4,-80.0,-70.0,0.2618025751072961,0.7381974248927039,231,BTC
4,-70.0,-60.0,0.2457627118644068,0.7542372881355932,234,BTC
4,-60.0,-50.0,0.272108843537415,0.727891156462585,292,BTC
4,-50.0,-40.0,0.34375,0.65625,286,BTC
4,-40.0,-30.0,0.3861111111111111,0.6138888888888889,358,BTC
4,-30.0,-20.0,0.3853904282115869,0.614609571788413,395,BTC
4,-20.0,-10.0,0.4512987012987013,0.5487012987012987,460,BTC
4,-10.0,0.0,0.4613861386138614,0.5386138613861386,503,BTC
4,0.0,10.0,0.5263671875,0.4736328125,510,BTC
4,10.0,20.0,0.5556745182012848,0.4443254817987152,465,BTC
4,20.0,30.0,0.6071428571428571,0.3928571428571429,404,BTC
4,30.0,40.0,0.6551724137931034,0.3448275862068966,375,BTC
4,40.0,50.0,0.6732394366197183,0.3267605633802817,353,BTC
4,50.0,60.0,0.7432950191570882,0.2567049808429118,259,BTC
4,60.0,70.0,0.6982758620689655,0.3017241379310345,230,BTC
4,70.0,80.0,0.7447698744769874,0.2552301255230126,237,BTC
4,80.0,90.0,0.7530120481927711,0.2469879518072288,164,BTC
4,90.0,100.0,0.7159763313609467,0.2840236686390532,167,BTC
4,100.0,110.0,0.7279411764705882,0.2720588235294118,134,BTC
4,110.0,120.0,0.8135593220338984,0.1864406779661016,116,BTC
4,120.0,130.0,0.7685185185185185,0.2314814814814815,106,BTC
4,130.0,140.0,0.7901234567901234,0.2098765432098766,79,BTC
4,140.0,150.0,0.8148148148148148,0.1851851851851852,79,BTC
4,150.0,160.0,0.8,0.1999999999999999,53,BTC
4,160.0,170.0,0.8032786885245902,0.1967213114754098,59,BTC
4,170.0,180.0,0.85,0.15,58,BTC
4,180.0,190.0,0.8863636363636364,0.1136363636363636,42,BTC
4,190.0,200.0,0.8367346938775511,0.1632653061224489,47,BTC
4,200.0,210.0,0.8035714285714286,0.1964285714285714,54,BTC
4,210.0,220.0,0.8529411764705882,0.1470588235294118,32,BTC
4,220.0,230.0,0.7307692307692307,0.2692307692307693,24,BTC
4,250.0,260.0,0.6956521739130435,0.3043478260869565,21,BTC
5,-300.0,-290.0,0.1363636363636363,0.8636363636363636,20,BTC
5,-280.0,-270.0,0.1388888888888889,0.8611111111111112,34,BTC
5,-270.0,-260.0,0.125,0.875,22,BTC
5,-250.0,-240.0,0.2,0.8,23,BTC
5,-240.0,-230.0,0.0857142857142857,0.9142857142857144,33,BTC
5,-230.0,-220.0,0.1176470588235294,0.8823529411764706,32,BTC
5,-220.0,-210.0,0.1714285714285714,0.8285714285714285,33,BTC
5,-210.0,-200.0,0.1739130434782608,0.8260869565217391,44,BTC
